event_id,year,title,event_type,source_domain_real,archivalization_score_v2,source
EVT-EXH-1979-00054-b4331dd1,1979,搜尋 | Li Xianting Archive 栗憲庭檔案 | 亞洲藝術文獻庫 - AAA,exhibition,aaa.org.hk,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Faaa.org.hk%2Ftc%2Fcollections%2Fsearch%2Farchive%2Fli%2Dxianting%2Darchive&rut=b915924d6471ca9039a2a603eae78ddaf0664322c4dbf575bc2464d5161b5c50
EVT-EXH-2006-00060-dc263387,2006,栗宪庭（Li Xianting） 评论家+策展人 人物档案 艺术档案,exhibition,www.artda.cn,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artda.cn%2Fpinglunjiacezhanren%2Dc%2D1194.html&rut=fc4b6bc99af4d117d9fe6f718af77609d0cbe592afcf9e292339c983d685a1f9
EVT-EXH-1979-00005-c99a26d4,1979,合集 · 回放|前卫•上海——上海当代艺术30年文献展（1979-2010）,exhibition,www.sohu.com,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F238987623_100143310&rut=f1b51afadbbad6a292924e4f8d30e50d5e074cda295e8ca3f336ef8b6fa0571a
EVT-EXH-1986-00018-a4ff0dfe,1986,上海当代艺术30年文献展（1979—2010）之：偶发与表演 行为档案 艺术档案,exhibition,www.artda.cn,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artda.cn%2Fxingweidangan%2Dc%2D10817.html%3Bcid%3D2&rut=212ea3a162d57dce726c74cf10a8f651f3a5f6d3d030f5db212ab9185b5a1298
EVT-EXH-1985-00026-a09c7be5,1985,吴山专（Wu Shanzhuan） 国内 艺术家库 人物档案 艺术档案,exhibition,www.artda.cn,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artda.cn%2Fview.php%3Ftid%3D110%26cid%3D28&rut=064666efba3917e6f0f2cad9a2b7e501656e355eef6aca8348692a166d7f8bb7
EVT-EXH-1979-00014-b2184a7f,1979,前卫·上海——上海当代艺术30年文献展（1979-2010）：前卫主义新潮（1985-1992） - ARThing艺术活,exhibition,www.arthing.org,10.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.arthing.org%2Farchives%2F2018%2F01%2F006818.html&rut=6e0138ed358d83d492c39daf41a9bcd196f4e0d8f6ab9e77bebe094942098030
EVT-EXH-1985-00009-7ebc00d2,1985,1980年代——温普林中国前卫艺术档案展 | 展览 | Artlinkart | 当代艺术数据库,exhibition,www.artlinkart.com,9.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Fexhibition%2Foverview%2F5c1avxqq&rut=406cf9ebe1b6f9611f89dcb38750ae1466e1e04144f0f8d22d2b4c7a57d1ad7e
EVT-OTH-1985-00057-ee92c1a7,1985,栗宪庭：中国百年艺术思潮 - 独立中文笔会,other,www.chinesepen.org,8.6,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.chinesepen.org%2Fblog%2Farchives%2F121393&rut=7f8928f12cd2d292733f82168e47c80d1e76923ab44985f5945dfe039d6c7e22
EVT-EXH-1985-00007-2e227262,1985,个体精神萌发的时刻，回到1980年代上海前卫艺术现场,exhibition,www.theartjournal.cn,8.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.theartjournal.cn%2Farchives%2Finterview%2F112959&rut=cc301ace48eaab193c8430f782913aef47fee20a86c6d1127252ed3184a42bc9
EVT-EXH-1985-00017-07c5fcc1,1985,藝術事件資料庫 | China/Avant-Garde Exhibition | 亞洲藝術文獻庫,exhibition,aaa.org.hk,8.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Faaa.org.hk%2Ftc%2Fcollections%2Fevent%2Ddatabase%2Fchinaavant%2Dgarde%2Dexhibition%2D17368&rut=d19f1da4e911b1bdf657d2b8b44465f8d30e51f7b48025e1202c1ac7af751e15
EVT-EXH-1989-00044-96098ebc,1989,89现代艺术展 国内 艺术思潮 大史记 艺术档案 - artda.cn,exhibition,www.artda.cn,7.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artda.cn%2Fyishusichaoguonei%2Dc%2D3051.html&rut=12fd9c932e1c369b90a6cb0c0c0f5331f2adfad02bbe1ff725a33b84e3e06fc7
EVT-EXH-1985-00064-9dcfada7,1985,艺术档案 - artda.cn,exhibition,www.artda.cn,7.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artda.cn%2Flaosushufang%2Dc%2D10927.html&rut=3a9224d3c0693e124297f03406956c6fd63438db41434148d14a3e69aac8c8a2
EVT-EXH-1989-00047-dc372981,1989,"1989""中国现代艺术大展""研究（节选） CAFA Art Museum",exhibition,www.cafamuseum.org,7.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafamuseum.org%2Fen%2Fexhibit%2Fnewsdetail%2F2279&rut=d0f73edd10f49623b0cad5cbc7d56c8e82305fcb81164271ddbc869884bab19d
EVT-EXH-1979-00019-23f60a79,1979,新昊和他的朋友们| 前卫·上海——上海当代艺术30年文献展（1979-2010）：前卫主义新潮（1985-1992）盛大开幕,exhibition,www.sohu.com,6.7,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F222123004_330564&rut=fd1593236c3fac4d4c2844f78964785375d168da565c37621d7a5f757efc7603
EVT-EXH-1985-00020-0692c9c4,1985,艺诺看展|前卫·上海——上海当代艺术30年文献展（1979—2010）,exhibition,www.sohu.com,6.7,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F238857600_100143310&rut=7c55a904fd3d44e875c06be8e3c827030a4fdaff735cb31195ca7b25a0e20c32
EVT-OTH-1985-00008-c16fbd33,1985,中国前卫艺术现状 | 文章 | Artlinkart | 当代艺术数据库,other,www.artlinkart.com,6.4,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Farticle%2Foverview%2FafdfsAu&rut=f0b9f0f706688a0e460b4176709cd0af1bdd7e519ac4a1da2c360cec3d3d6271
EVT-EXH-1989-00049-7a9accd0,1989,"《1989""中国现代艺术展"", 美术馆内》 - Red Brick Art Museum",exhibition,www.redbrickartmuseum.org,6.2,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.redbrickartmuseum.org%2Fcollections%2F%25E3%2580%258A1989%25E4%25B8%25AD%25E5%259B%25BD%25E7%258E%25B0%25E4%25BB%25A3%25E8%2589%25BA%25E6%259C%25AF%25E5%25B1%2595%2D%25E7%25BE%258E%25E6%259C%25AF%25E9%25A6%2586%25E5%2586%2585%25E3%2580%258B%2F&rut=7f762164f8647b84166e157b74f2890e967bba73a732701cd0008956c32543df
EVT-EXH-1985-00041-1c13795f,1985,Xu Bing - 关于 - 年表,exhibition,xubing.com,6.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fxubing.com%2Fcn%2Fabout%2Fworkhistory&rut=0b94621a525af0166dbbf7d1df20c6689d3a85a87383cba3d6149b30ee763c29
EVT-EXH-1985-00036-31972e8d,1985,任何人都有权利拒绝成为吴山专 | 文章 | Artlinkart | 当代艺术数据库,exhibition,www.artlinkart.com,6.0,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Farticle%2Foverview%2Feediswo%2Fgenres%2Fcritique%2FR&rut=b42fa0dccec3d5a57aafc979437618bebf914f014e9e983f6f9f90590c61cdb4
EVT-OTH-1985-00027-e3cd59f9,1985,吴山专 | 艺术家 | Artlinkart | 当代艺术数据库,other,www.artlinkart.com,5.6,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Fartist%2Ftxt_ab%2F418brw%2Fe86isvu&rut=9052e2ec6ae0ca1afc7dd81e7b0736564f4a1631edc15f73f9cb7ba891f70f16
EVT-EXH-2019-00067-6b5dd021,2019,"PDF策展30年： ""是时候建立中国策展学了""",exhibition,nepaper.ccdy.cn,5.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fnepaper.ccdy.cn%2Fpage%2F1%2F2019%2D01%2F06%2F1%2F201901061_pdf.PDF&rut=fd3ef6c5b961aeaed733f7b8219ec742bcc57577e0a0c3947b1a8b469286b3be
EVT-EXH-1985-00068-77de2bf0,1985,栗宪庭 | 艺术家 | Artlinkart | 当代艺术数据库,exhibition,www.artlinkart.com,5.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artlinkart.com%2Fcn%2Fartist%2Ftxt_ab%2F425auxn&rut=06add18100d1bd5f209d8393e2e2a7457c8a23177bdb5108b8b726756752d589
EVT-EXH-2016-00012-4bb38a5f,2016,"""温普林中国前卫艺术档案之八〇九〇年代"" - Red Brick Art Museum",exhibition,www.redbrickartmuseum.org,5.2,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.redbrickartmuseum.org%2Fexhibitions%2F%25E6%25B8%25A9%25E6%2599%25AE%25E6%259E%2597%25E4%25B8%25AD%25E5%259B%25BD%25E5%2589%258D%25E5%258D%25AB%25E8%2589%25BA%25E6%259C%25AF%25E6%25A1%25A3%25E6%25A1%2588%25E4%25B9%258B%25E5%2585%25AB%25E3%2580%2587%25E4%25B9%259D%25E3%2580%2587%25E5%25B9%25B4%25E4%25BB%25A3%2F&rut=202ae94a1fd2922c49add17aa431232bc197e0c6e452a735808918fec6967c48
EVT-EXH-1985-00039-b9dcabac,1985,徐冰展览年表 - 搜狐,exhibition,www.sohu.com,3.7,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F208049359_407290&rut=2ea27e23f24efe242cc660f72d884390915679ef4032f90de53f8c64b314a37d
EVT-EXH-1994-00053-a907ff22,1994,徐冰 - artforum.com.cn,exhibition,www.artforum.com.cn,3.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.artforum.com.cn%2Fprint%2F201809%2F11703&rut=462d3a258abb8342e79b91c05b9767e09a77e886ef597808077665d1864f9f88
EVT-EXH-2025-00066-9de7e26a,2025,两声枪响:现代艺术的谢幕礼! / 栗宪庭_《对话》文献_文献_肖鲁工作室,exhibition,en.xiaolu.com.au,3.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fen.xiaolu.com.au%2Findex.php%3Fc%3Dshow%26id%3D98&rut=3f4f1c60f3a7fa577202a866e0235f2fad85a62bb415cdcc8573c1e806edd885
EVT-EXH-1985-00022-3150058e,1985,从上海当代艺术30年回顾展 听嘹亮背景下的清越之声,exhibition,news.ifeng.com,2.7,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fnews.ifeng.com%2Fc%2F7fZuuWPGhRA&rut=23bb09b751bb53a9525d45e09e7e7332f4d2b3106363720912ece288f28e2017
EVT-EXH-1985-00052-fe4ae423,1985,"""徐冰：思想与方法""展览设计团队：一定要从外部判断 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info",exhibition,www.cafa.com.cn,2.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafa.com.cn%2Fcn%2Fopinions%2Finterviews%2Fdetails%2F5410389&rut=58491e912971ded84b04779a15809b819a3cd5754ea9f2d0f50dce3733504550
EVT-EXH-1985-00046-61e512d0,1985,徐冰的艺术世界：过去与未来 - 访谈 - 观点 - 中央美术学院艺术资讯网-CAFA Art Info,exhibition,www.cafa.com.cn,2.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.cafa.com.cn%2Fcn%2Fopinions%2Finterviews%2Fdetails%2F54128&rut=120a2edbdc366754ebbef67cda0f7c2f155a815a24e910445cb97aba381d41c1
EVT-EXH-1985-00034-f05775c4,1985,吳山專 | 創作者 | M+,exhibition,www.mplus.org.hk,2.2,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.mplus.org.hk%2Ftc%2Fcollection%2Fmakers%2Fwu%2Dshanzhuan%2F&rut=5dbf85e9d9d3b6a80471c1aa863d7a45848c9d23cb5b6ea2bcf33e3577da18a7
